DIV_island4
91	 3 	 8 	 0.0000 	 0.0000 
	0 
	152.2104	-17.003
	152.2317	0.0078851
	152.1721	17.0815
	0.5
	152.4794	-16.2277
	152.2141	0.71012
	151.8639	17.861
	1
	152.6628	-15.5633
	152.1621	1.4106
	151.6078	18.479
	1.5
	152.8552	-14.8122
	152.0768	2.1096
	151.2366	19.2471
	2
	153.0099	-14.0731
	151.9603	2.8054
	150.8403	19.9936
	2.5
	153.1284	-13.3433
	151.8144	3.497
	150.4197	20.7169
	3
	153.1935	-12.6613
	151.6410	4.1828
	150.0379	21.3149
	3.5
	153.2478	-11.933
	151.4422	4.8629
	149.5763	21.9843
	4
	153.2735	-11.1956
	151.2184	5.5357
	149.0938	22.6267
	4.5
	153.2720	-10.4474
	150.9701	6.2
	148.5870	23.2501
	5
	153.2278	-9.724
	150.6959	6.854
	148.0847	23.8106
	5.5
	153.1720	-8.9564
	150.3959	7.4977
	147.5206	24.4105
	6
	153.0868	-8.1887
	150.0683	8.1291
	146.9234	25.0044
	6.5
	152.9720	-7.4273
	149.7124	8.7471
	146.2951	25.5904
	7
	152.7945	-6.7871
	149.3270	9.3499
	145.6674	26.1256
	7.5
	152.6177	-6.068
	148.9138	9.9377
	144.9829	26.6887
	8
	152.4090	-5.3806
	148.4738	10.5091
	144.2770	27.232
	8.5
	152.1671	-4.7122
	148.0083	11.0629
	143.5575	27.7415
	9
	151.8717	-4.2187
	147.5219	11.6
	142.9037	28.1449
	9.5
	151.5789	-3.6088
	147.0168	12.1195
	142.1675	28.5957
	10
	151.2619	-3.012
	146.4963	12.6212
	141.4283	29.01
	10.5
	150.9184	-2.4056
	145.9616	13.1043
	140.6883	29.3809
	11
	150.5543	-1.8313
	145.4162	13.5693
	140.0442	29.632
	11.5
	150.1747	-1.2233
	144.8593	14.0152
	139.2866	29.9567
	12
	149.7755	-0.61039
	144.2906	14.4409
	138.5118	30.2638
	12.5
	149.3520	0.013697
	143.7076	14.845
	137.7181	30.5499
	13
	148.9074	0.53921
	143.1112	15.2274
	136.9184	30.8173
	13.5
	148.4536	1.1222
	142.4990	15.5867
	136.0751	31.0925
	14
	147.9824	1.6708
	141.8700	15.9221
	135.2088	31.3573
	14.5
	147.4834	2.0655
	141.2233	16.2327
	134.3893	31.554
	15
	146.9850	2.5163
	140.5621	16.5198
	133.4946	31.7877
	15.5
	146.4752	2.9083
	139.8874	16.7833
	132.6001	31.9948
	16
	145.9486	3.2569
	139.2010	17.0237
	131.7153	32.163
	16.5
	145.4202	3.3989
	138.5091	17.2436
	130.9434	32.2401
	17
