  91
  1.43547610  -0.00001465 
  1.43530481   0.00684866 
  1.43479109   0.01369996 
  1.43393699   0.02052715 
  1.43274571   0.02731803 
  1.43122125   0.03406027 
  1.42936813   0.04074144 
  1.42719109   0.04734906 
  1.42469499   0.05387074 
  1.42188482   0.06029430 
  1.41876584   0.06660786 
  1.41534391   0.07280005 
  1.41162577   0.07886001 
  1.40761928   0.08477749 
  1.40333358   0.09054287 
  1.39877897   0.09614709 
  1.39396669   0.10158160 
  1.38890849   0.10683826 
  1.38361615   0.11190924 
  1.37810103   0.11678693 
  1.37237377   0.12146396 
  1.36644420   0.12593315 
  1.36032154   0.13018769 
  1.35401475   0.13422123 
  1.34753314   0.13802813 
  1.34088690   0.14160363 
  1.33408763   0.14494404 
  1.32714859   0.14804679 
  1.32008472   0.15091044 
  1.31291232   0.15353454 
  1.30564841   0.15591937 
  1.29831003   0.15806559 
  1.29091337   0.15997392 
  1.28347316   0.16164487 
  1.27600223   0.16307856 
  1.26851151   0.16427472 
  1.26101026   0.16523290 
  1.25350662   0.16595270 
  1.24600823   0.16643419 
  1.23852292   0.16667827 
  1.23105923   0.16668699 
  1.22362679   0.16646376 
  1.21623642   0.16601346 
  1.20890002   0.16534227 
  1.20163022   0.16445754 
  1.19443986   0.16336735 
  1.18734145   0.16208012 
  1.18034662   0.16060421 
  1.17346571   0.15894755 
  1.16670753   0.15711744 
  1.16007928   0.15512042 
  1.15358669   0.15296237 
  1.14723424   0.15064866 
  1.14102550   0.14818438 
  1.13496343   0.14557464 
  1.12905068   0.14282476 
  1.12328983   0.13994049 
  1.11768349   0.13692809 
  1.11223437   0.13379433 
  1.10694525   0.13054638 
  1.10181893   0.12719171 
  1.09685806   0.12373782 
  1.09206509   0.12019207 
  1.08744214   0.11656143 
  1.08299092   0.11285230 
  1.07871274   0.10907040 
  1.07460843   0.10522069 
  1.07067843   0.10130734 
  1.06692283   0.09733386 
  1.06334140   0.09330313 
  1.05993371   0.08921758 
  1.05669917   0.08507937 
  1.05363710   0.08089049 
  1.05074678   0.07665297 
  1.04802748   0.07236898 
  1.04547849   0.06804090 
  1.04309911   0.06367143 
  1.04088866   0.05926355 
  1.03884646   0.05482052 
  1.03697183   0.05034583 
  1.03526406   0.04584313 
  1.03372241   0.04131610 
  1.03234610   0.03676840 
  1.03113434   0.03220352 
  1.03008631   0.02762472 
  1.02920119   0.02303493 
  1.02847823   0.01843675 
  1.02791674   0.01383242 
  1.02751611   0.00922382 
  1.02727593   0.00461255 
  1.02719590   0.00000000 
